encoded_feature,importance
contract_two_year,0.27986949399100586
contract_one_year,0.17350578373879988
customer_satisfaction_group_satisfaction_1_3,0.11599348908817397
contract_month_to_month,0.0741254575016134
customer_satisfaction_group_satisfaction_7_9,0.06857621600310097
has_tech_support,0.0574425152198675
num_complaints_group_complaints_gt_1,0.04683607677317858
num_complaints_group_complaints_le_1,0.04308703441103077
late_payments_group_late_0,0.02852652707925292
num_service_calls_group_service_calls_gt_3,0.027146701639026865
num_service_calls_group_service_calls_le_3,0.02636672050090076
num_services_group_services_1_2,0.017788130207097793
late_payments_group_late_1_2,0.017342760284797892
num_services_group_services_5_6,0.011233674715057788
num_services_group_services_3_4,0.007038936356018384
late_payments_group_late_3_plus,0.005120482491076783
